Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Periodo;Total
Total Nacional;17 Rioja, La;;Mujeres;2022;163.131
Total Nacional;17 Rioja, La;;Mujeres;2021;161.742
Total Nacional;17 Rioja, La;;Mujeres;2020;161.681
Total Nacional;17 Rioja, La;26 Rioja, La;Total;2023;324.184
Total Nacional;17 Rioja, La;26 Rioja, La;Total;2022;322.282
Total Nacional;17 Rioja, La;26 Rioja, La;Total;2021;319.617
Total Nacional;17 Rioja, La;26 Rioja, La;Total;2020;319.444
Total Nacional;17 Rioja, La;26 Rioja, La;Hombres;2023;159.979
Total Nacional;17 Rioja, La;26 Rioja, La;Hombres;2022;159.151
Total Nacional;17 Rioja, La;26 Rioja, La;Hombres;2021;157.875
Total Nacional;17 Rioja, La;26 Rioja, La;Hombres;2020;157.763
Total Nacional;17 Rioja, La;26 Rioja, La;Mujeres;2023;164.205
Total Nacional;17 Rioja, La;26 Rioja, La;Mujeres;2022;163.131
Total Nacional;17 Rioja, La;26 Rioja, La;Mujeres;2021;161.742
Total Nacional;17 Rioja, La;26 Rioja, La;Mujeres;2020;161.681
Total Nacional;18 Ceuta;;Total;2023;83.179
Total Nacional;18 Ceuta;;Total;2022;83.052
Total Nacional;18 Ceuta;;Total;2021;83.051
Total Nacional;18 Ceuta;;Total;2020;84.071
Total Nacional;18 Ceuta;;Hombres;2023;41.957
Total Nacional;18 Ceuta;;Hombres;2022;41.897
Total Nacional;18 Ceuta;;Hombres;2021;41.908
Total Nacional;18 Ceuta;;Hombres;2020;42.536
Total Nacional;18 Ceuta;;Mujeres;2023;41.222
Total Nacional;18 Ceuta;;Mujeres;2022;41.155
Total Nacional;18 Ceuta;;Mujeres;2021;41.143
Total Nacional;18 Ceuta;;Mujeres;2020;41.535
Total Nacional;18 Ceuta;51 Ceuta;Total;2023;83.179
Total Nacional;18 Ceuta;51 Ceuta;Total;2022;83.052
Total Nacional;18 Ceuta;51 Ceuta;Total;2021;83.051
Total Nacional;18 Ceuta;51 Ceuta;Total;2020;84.071
Total Nacional;18 Ceuta;51 Ceuta;Hombres;2023;41.957
Total Nacional;18 Ceuta;51 Ceuta;Hombres;2022;41.897
Total Nacional;18 Ceuta;51 Ceuta;Hombres;2021;41.908
Total Nacional;18 Ceuta;51 Ceuta;Hombres;2020;42.536
Total Nacional;18 Ceuta;51 Ceuta;Mujeres;2023;41.222
Total Nacional;18 Ceuta;51 Ceuta;Mujeres;2022;41.155
Total Nacional;18 Ceuta;51 Ceuta;Mujeres;2021;41.143
Total Nacional;18 Ceuta;51 Ceuta;Mujeres;2020;41.535
Total Nacional;19 Melilla;;Total;2023;85.985
Total Nacional;19 Melilla;;Total;2022;85.493
Total Nacional;19 Melilla;;Total;2021;84.932
Total Nacional;19 Melilla;;Total;2020
Total Nacional;19 Melilla;;Hombres;2023;43.252
Total Nacional;19 Melilla;;Hombres;2022;43.162
Total Nacional;19 Melilla;;Hombres;2021;42.978
Total Nacional;19 Melilla;;Hombres;2020;43.823
Total Nacional;19 Melilla;;Mujeres;2023;42.733
Total Nacional;19 Melilla;;Mujeres;2022;42.331
Total Nacional;19 Melilla;;Mujeres;2021;41.954
Total Nacional;19 Melilla;;Mujeres;2020;42.627
Total Nacional;19 Melilla;52 Melilla;Total;2023;85.985
Total Nacional;19 Melilla;52 Melilla;Total;2022;85.493
Total Nacional;19 Melilla;52 Melilla;Total;2021;84.932
Total Nacional;19 Melilla;52 Melilla;Total;2020;86.450
Total Nacional;19 Melilla;52 Melilla;Hombres;2023;43.252
Total Nacional;19 Melilla;52 Melilla;Hombres;2022;43.162
Total Nacional;19 Melilla;52 Melilla;Hombres;2021;42.978
Total Nacional;19 Melilla;52 Melilla;Hombres;2020;43.823
Total Nacional;19 Melilla;52 Melilla;Mujeres;2023;42.733
Total Nacional;19 Melilla;52 Melilla;Mujeres;2022;42.331
Total Nacional;19 Melilla;52 Melilla;Mujeres;2021;41.954
Total Nacional;19 Melilla;52 Melilla;Mujeres;2020;42.627
